FILE_NAME,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5
10046099473-1.jpg,#262429,#000000,#ebdbde,#ab9596,#f23b4b
10068038733-1.png,#a19a91,#807c73,#000000,#555249,#e6e2db
10068038925-1.png,#c2952f,#000000,#9f7610,#674d10,#f1e9df
10068039757-1.png,#000000,#c294b8,#9f7392,#f3eee4,#534250
10068040013-1.png,#4b9cc8,#000000,#136995,#dbe7e9,#ea656a
10068040269-1.png,#0e1b26,#000000,#212d38,#b18087,#eae5de
10068040589-1.png,#303627,#000000,#4a523e,#eae5dc,#b18788
10077685009-1.jpg,#1e1e1f,#dcdfe3,#000000,#313233,#717375
10122442509-1.png,#232327,#a4715c,#e3e4eb,#000000,#3b383b
10122443789-1.png,#827a74,#161717,#262626,#000000,#e3e6ea
10151122317-1.png,#000000,#27262c,#d4d3d4,#86878a,#56575d
10156188045-1.png,#000000,#e0e2e2,#484747,#c1c4c7,#949899
10453382598-1.jpg,#c98545,#000000,#aa662e,#763d1f,#e1a568
10458582022-1.jpg,#b27f51,#c3a177,#e7d3a7,#000000,#66564b
10459740870-1.jpg,#a4603d,#b9916f,#000000,#eadcb3,#573528
10511807317-1.jpg,#000000,#1f273a,#a7623f,#5a6373,#a6a8af
10512801429-1.jpg,#8c4f2f,#b58d6e,#000000,#ab6f49,#544541
10512845397-1.jpg,#000000,#a57953,#c28b39,#ddaf60,#7f5229
10512984341-1.jpg,#5d4b3a,#a97645,#bd9d71,#000000,#e2cb9e
10630018573-1.png,#000000,#201c19,#504f51,#332e2c,#888a8e
10630019021-1.png,#010102,#dad3d4,#352b59,#85799a,#a82733
10630019149-1.png,#343130,#615d5e,#000000,#d8d8da,#8d8c90
1067492573299-1.jpg,#e6e2e1,#de9c74,#000000,#171717,#91674a
1075297550393-1.jpg,#000000,#ecae82,#bf8562,#5c422d,#f5e2d0
1075388874809-1.jpg,#e9ab82,#000000,#f1decd,#be8462,#634631
10792292749-1.png,#413c3b,#000000,#585352,#888786,#c8c6c5
11203129236-1.jpg,#a88c79,#000000,#78635a,#d1a98b,#433430
11277568981-1.jpg,#ccac92,#b69176,#000000,#7f6f66,#434142
11277750805-1.jpg,#0a1a24,#2a3a42,#576269,#000000,#abab9a
11517089685-1.jpg,#000000,#d4d9e3,#293438,#151b1f,#777978
1305472663609-1.png,#000000,#d8a07e,#e8e4e6,#211d1a,#a36b50
1315177857111-1.jpg,#191712,#b88065,#000000,#dcad8e,#6c554a
1315195650135-1.jpg,#d4b18a,#000000,#caa17a,#e1c4a8,#b28562
1326848770132-1.png,#000000,#221a1b,#d4d7dd,#ae765c,#794d3d
1326850179156-1.png,#000101,#95979f,#007a9b,#c6cdd2,#5d5f67
